Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20
BehaviorSpace results (NetLogo 6.3.0);;;;;;;;;;;;;;;;;;;
TP.nlogo;;;;;;;;;;;;;;;;;;;
experiment10;;;;;;;;;;;;;;;;;;;
10/22/2023 17:40:22:122 +0100;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;
0;32;0;32;;;;;;;;;;;;;;;;
[run number];energia_castanha;Numero_Hipopotamos;Modelo;Numero_Catos;descanso_duracao;energia_animais;Energia_perdida_combate;MostraEnergia;Celula_Azul;energia_vermelho;Grande_Porte;Pequeno_Porte;Numero_Leoes;Numero_Hienas;[step];count hienas;tickhienas;count leoes;tickleoes
1;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
6;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
5;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;114;0
8;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;112;0
10;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
12;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
7;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
11;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;115;0
2;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
9;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
13;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;120;0
14;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
3;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
4;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
15;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
18;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
16;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
17;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
19;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
20;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
23;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
21;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
24;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;113;0
28;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;120;0
22;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
27;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
29;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
33;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
30;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;115;0
32;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
31;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
35;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;114;0
34;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
25;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;120;0
26;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;120;0
36;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
40;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
38;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
43;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
42;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
44;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
41;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
39;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
45;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;120;0
37;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;120;0
46;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;120;0
47;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
48;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
49;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
51;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
52;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
50;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
53;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
55;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
54;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
56;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
57;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
58;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
59;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;115;0
63;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;113;0
60;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;111;0
62;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
61;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
64;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;112;0
66;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
65;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
67;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;120;0
68;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
69;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
71;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
70;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;114;0
72;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
77;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
74;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
73;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
78;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
75;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
76;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
79;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;120;0
80;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
81;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
84;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
82;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
83;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
85;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
86;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
88;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
87;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;120;0
89;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
92;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;112;0
90;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
91;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
93;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;119;0
94;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
95;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;117;0
96;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
97;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
98;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
99;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;116;0
100;40;2;Modelo_Base;25;15;150;0.1;true;3;40;10;20;120;10;1000;0;1000;118;0
;;;;;;;;;;;;;;;;0;1000;117,12;0
