Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21
BehaviorSpace results (NetLogo 6.3.0);;;;;;;;;;;;;;;;;;;;
TP.nlogo;;;;;;;;;;;;;;;;;;;;
experiment10;;;;;;;;;;;;;;;;;;;;
10/22/2023 20:34:39:766 +0100;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;
0;32;0;32;;;;;;;;;;;;;;;;;
[run number];energia_castanha;Numero_Hipopotamos;Numero_Catos;Modelo;descanso_duracao;energia_animais;Energia_perdida_combate;MostraEnergia;Numero_Oasis;Celula_Azul;energia_vermelho;Grande_Porte;Pequeno_Porte;Numero_Leoes;Numero_Hienas;[step];count hienas;tickhienas;count leoes;tickleoes
11;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;31;0;0;1000
2;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;38;0;0;1000
1;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;37;0;0;1000
12;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;40;0;0;1000
9;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;33;0;0;1000
5;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;34;0;0;1000
10;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;40;0;0;1000
7;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;21;0;0;1000
15;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;27;0;0;1000
14;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;29;0;0;1000
13;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;25;0;0;1000
16;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;28;0;0;1000
19;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;28;0;0;1000
17;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;39;0;0;1000
18;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;43;0;0;1000
20;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;28;0;0;1000
21;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;25;0;0;1000
22;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;28;0;0;1000
6;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;28;0;0;1000
24;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;39;0;0;1000
23;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;36;0;0;1000
25;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;31;0;0;1000
26;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;40;0;0;1000
8;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;35;0;0;1000
29;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;26;0;0;1000
27;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;37;0;0;1000
30;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;16;0;0;1000
4;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;34;0;0;1000
3;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;42;0;0;1000
28;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;36;0;0;1000
34;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;26;0;0;1000
35;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;47;0;0;1000
33;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;37;0;0;1000
32;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;56;0;0;1000
39;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;18;0;0;1000
37;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;41;0;0;1000
38;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;40;0;0;1000
43;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;53;0;0;1000
44;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;40;0;0;1000
45;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;39;0;0;1000
46;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;44;0;0;1000
42;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;40;0;0;1000
48;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;25;0;0;1000
47;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;48;0;0;1000
49;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;48;0;0;1000
36;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;17;0;0;1000
31;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;37;0;0;1000
50;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;38;0;0;1000
51;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;42;0;0;1000
55;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;33;0;0;1000
53;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;42;0;0;1000
56;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;23;0;0;1000
52;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;44;0;0;1000
57;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;20;0;0;1000
54;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;36;0;0;1000
40;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;36;0;0;1000
41;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;33;0;0;1000
61;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;21;0;0;1000
60;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;35;0;0;1000
62;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;33;0;0;1000
63;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;43;0;0;1000
64;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;21;0;0;1000
65;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;35;0;0;1000
58;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;28;0;0;1000
66;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;49;0;0;1000
70;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;21;0;0;1000
67;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;23;0;0;1000
71;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;40;0;0;1000
73;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;33;0;0;1000
74;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;27;0;0;1000
72;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;35;0;0;1000
59;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;42;0;0;1000
75;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;36;0;0;1000
77;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;25;0;0;1000
68;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;33;0;0;1000
78;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;39;0;0;1000
69;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;28;0;0;1000
83;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;35;0;0;1000
80;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;38;0;0;1000
79;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;27;0;0;1000
82;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;42;0;0;1000
76;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;23;0;0;1000
86;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;29;0;0;1000
81;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;49;0;0;1000
85;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;35;0;0;1000
88;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;31;0;0;1000
91;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;29;0;0;1000
89;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;34;0;0;1000
93;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;35;0;0;1000
84;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;28;0;0;1000
96;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;25;0;0;1000
95;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;34;0;0;1000
92;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;40;0;0;1000
97;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;39;0;0;1000
94;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;37;0;0;1000
98;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;41;0;0;1000
87;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;46;0;0;1000
90;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;41;0;0;1000
100;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;35;0;0;1000
99;40;3;15;Modelo_Melhorado;15;150;0.5;true;3;3;40;5;20;120;120;1000;43;0;0;1000
;;;;;;;;;;;;;;;;;34,4;0;0;1000
