Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21
BehaviorSpace results (NetLogo 6.3.0);;;;;;;;;;;;;;;;;;;;
TP.nlogo;;;;;;;;;;;;;;;;;;;;
experiment1;;;;;;;;;;;;;;;;;;;;
10/22/2023 19:27:18:722 +0100;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;
0;32;0;32;;;;;;;;;;;;;;;;;
[run number];energia_castanha;Numero_Hipopotamos;Numero_Catos;Modelo;descanso_duracao;energia_animais;Energia_perdida_combate;MostraEnergia;Numero_Oasis;Celula_Azul;energia_vermelho;Grande_Porte;Pequeno_Porte;Numero_Leoes;Numero_Hienas;[step];count hienas;tickhienas;count leoes;tickleoes
6;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;3;0
7;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;6;0
9;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;3;0;1;0
3;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;11;0;0;1000
1;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;6;0
11;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;7;0;0;1000
8;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;9;0;0;1000
15;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;4;0
14;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;6;0
13;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;3;0
16;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;9;0
5;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;3;0
17;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;1;0
18;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;4;0
23;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;2;0
21;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;6;0
19;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;9;0
20;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;2;0
10;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;3;0
22;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;5;0;0;1000
25;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;4;0
27;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;1;0
30;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;2;0
26;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;1;0
24;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;0;1000
28;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;3;0;0;1000
32;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;1;0
34;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;4;0
33;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;4;0;0;1000
29;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;1;0
35;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;4;0;0;1000
2;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;6;0;0;1000
40;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;3;0
4;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;12;0;0;1000
39;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;2;0
38;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;3;0;0;1000
37;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;3;0
36;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;9;0;0;1000
41;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;2;0
45;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;4;0
43;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;4;0
42;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;2;0
31;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;0;1000
47;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;1;0
51;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;4;0
12;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;3;0
52;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;4;0;1;0
48;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;7;0;0;1000
53;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;8;0;0;1000
56;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;2;0
50;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;9;0;0;1000
54;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;3;0
59;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;4;0;2;0
61;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;1;0
49;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;5;0
60;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;5;0
63;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;6;0
65;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;3;0
62;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;4;0;1;0
55;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;1;0
66;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;3;0;1;0
57;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;9;0;0;1000
70;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;4;0
64;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;3;0;3;0
73;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;2;0
67;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;5;0
68;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;3;0;2;0
46;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;11;0;0;1000
71;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;2;0
74;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;2;0
75;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;8;0
69;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;8;0;0;1000
77;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;4;0
72;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;1;0
44;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;4;0
79;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;3;0
81;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;7;0
76;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;4;0;0;1000
82;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;5;0
58;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;2;0;2;0
85;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;6;0;0;1000
83;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;11;0;0;1000
84;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;7;0;0;1000
80;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;4;0
88;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;4;0
89;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;1;0
90;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;1;0
78;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;7;0
91;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;7;0;0;1000
94;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;5;0
93;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;4;0
95;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;3;0;1;0
97;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;1;0
86;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;3;0
98;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;7;0;0;1000
100;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;0;1000;3;0
96;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;7;0
87;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;9;0
99;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;1;0;3;0
92;25;3;13;Modelo_Melhorado;10;73;0.4;true;2;5;16;3;0;50;34;1000;11;0;0;1000
